Region 4,,Region 1,,Region 3,,Region 2,
"All right, sit back. Let me get you something to drink. Do you drink coffee? (or beverage of preference) How long as this been going on for? (about the troubled marriage) to Hey, stick around a bit. I'm going to get someone to sub in for you, ok?","Try to keep in mind that we have a mission to do. However, we need to be in the right state of mind to complete our mission. Lets talk about what we can do to keep you here. ",Sometimes it's best to switch focus. How do you think we should approach our next task? (continue involvement questions as a way to access temperament changes) ,"Know that you have family here and we will look out for you. Just keep us in the loop as to what is going on. It is easy to turn away when times turn for the worse. But, we can provide more than a simple paycheck. ",life is going to suck.,"Think of the positive, the food was good this morning. (knowing this does not help but actually propagates negative thoughts)",Imagine losing your job on top of all that. ,"How about you focus on work, you bum. "
"Private, I am glad you have come to me for this. Let's get you some help and someone to talk to. ","Private, I am concerned for you, what a tough time. You are indispensable to this unit and I cannot do without you. ","I understand what you are going through and these recent behaviors make sense. Let's see if we can get you some block leave, you deserve it! ","Private, you are one of our best. You always lead by example. What can we do to make you happy and help you through this time?","Sounds rough, but you cannot let it impact your work. ","Wow that is depressing. All around the same time. Tough luck, private. ","Pull yourself together, you are a grown man. Your parents are how old? Get over it and don't come crying to your superiors again.","That's pathetic, no wonder your fiance left you. Get your work in line or there will be consequences. "
Suicide is never the answer. I know you're strong and you can get through this.,"I'm not going to pretend like I know what you are going through, and I'm sorry you have to do it, but if there's anyone that can make it through, it's you. If you need anything, let me know."," I know you're going through tough times, but everything happens for a reason. You do great work here.",,,,,
"PFC, i just want you to know that it gets better. I know for a fact that you're thinking this is how life is always going to be, but I can assure you that it's not. You'll get through this.","PFC, just know that I am here and your whole platoon is here for you. We are a fmaily, we take care of each other, and we support each other. What you're going through right now sucks, but this is not worth ending your life. ","PFC Lewis, I want you to try and take your mind off of your troubles for at least a little while. Get some fresh air and clear your head. You are one of the best in the platoon and my go-to guy. You might feel helpless right now, but you're not. ",You are an integral and instrumental part of this platoon. You are one of the most valuable performers in this company. I know you're stronger and smarter than you think. DOn't let these set backs keep you from realizing that.,"Wow, that really sucks. I can't believe your fiance left you. Plus your parents splitting up. Thats the worst.","My fiance left me too. I havent been the same since, and that was two years ago. I keep waiting for it to get better, but who knows?",You're too busy feeling sorry for yourself and letting affect your work. What kind of man are you?,"I still expect better work from you. If you can't turn this around by next week, I am going to demote you. "
These kinds of things happen in life. You can't let other people's choices effect you in such a negative manner. ,Just take it one day at a time. Know that you always have teammates and friends here for you that you can call upon at any time.,Everything in life happens for a reason. It is not up to you to decipher why they happened immediately. It's up to you to get back up and search for the opportunity it's leading you to. ,You are an incredibly talented and hard-working individual. The things you do here do not go unrecognized. Take the day and go do something that makes you happy.,I understand that is tough but you're letting the rest of the company down by falling behind on your work.,Life gets tough but the world doesn't revolve around you. You need to get back to your priorities.,She probably made the right choice. ,"I don't care what is happening  in your life, what I care about is how poor your work ethic has become lately."
"If you want someone to talk to I am always here, I have enough experience to listen you out and even give an advice.","Even if you are feeling down my doors are always open for you, and I am there to help, you are not alone","You are one of our if not the best soldier, there are many people who look up to you and want to be like you, we are always willing to help.","You are our greatest asset, if you have a problem that means I fail as a PL, everything is going to be alright. ",I cannot help you,I do not care,"Maybe it is your fault, maybe you are the source of all their problems and people are simply trying to avoid you because of that.","You do not deserve them anyway, I bet all that happen because you were not there to help."
Ending it is never the answer to any problem. You're not in any trouble. Use the rest of the day to clear you head. ,I am always here if you ever need anything. ,You are one of the best soldiers I've had. Take the rest of the day off and come back tomorrow ready to get to work again. ,"I know things can be tough at home, but use these hardships to motivate yourself to be better than before. ",If you keep up this behavior I will have to officially write you up.,"You cannot continue to be late. Next time you're late, there will consequences. ",You will be facing harsh consequences such as demotions if you continue this bad behavior. ,You don't want others to look down on you. Suck it up and get to work. 
"You can ask anybody here, you're one of the best around. Who else is going to sit around and make MRE coffee for us on those cold, cold mornings? ","Hey man, I appreciate you opening up. We're here for you, whatever you need. Let's get you some time off, you can go somewhere and get your mind off of all this for a bit. ","I'm really sorry to hear that man. Here, we've got a slow couple of weeks coming up, I know you've got leave piled up, why don't we get you going a couple days early, you can go out and enjoy a trip somewhere nice? ","Hey man, look around. There isn't anybody here that doesn't need you, or hold you in exceptionally high regard. Let's get to work. ",I don't really know what to tell you right now man. We don't have time for any of this. ,I wish I could help you. ,You've been letting that weak BS get to you? You've gone from being one of my best to a complete shitbag. Get it together. ,"Everybody here is working their ass off. You're back here enjoying a nice pity party. You were one of the best here, not anymore. "
That's a lot to deal with all at once. I would recommend just being aware of your situation but not letting it control you.,"I would say you should not try to fix temporary problems with a permanent solution, think of how you'll be doing in a few years with this all behind you.","Break ups are a great place to start over, you can go out and have fun now.","Hey at least it ended before marriage, alimony payments probably cause way more suicidal tendencies than break ups.","Wow, I don't know what I would do either. I've never known anyone as down on their luck as you.","Well it doesn't sound like things are going to get any better for you. In fact, they will probably get worse.",Wow I never knew someone could cause their parents to get a divorce even when they are presumably in a different state.,You aren't worth anything here and you aren't worth anything to your family either. It all makes sense to me.
"Know that you are never alone, I am always here with open ears. ","I have great friend of mine who is counselor, would you mind going to see her? I think it will make you feel a lot better to express yourself to someone in confidence. ",You have to stay strong and remain positive even in the hardest times and understand that there is nothing ever worth taking your own life. You are an amazing soldier and person. ,"Sometimes breakups happen and they suck in the moment, but you will later realize that you were better off. Its easier said than done, I know. But also know, your life is meaningful and I have a number of people I can set you up with to talk too. ","Breakups happen, there are other fish in the sea. ",Its time to move on and stop feeling sorry for yourself. ,"Its probably for the better that you all broke up, have you ever thought about that?","Leave home issues at home, once you walk through those doors, that's where your focus needs to be. "
