Region 4,,Region 1,,Region 3,,Region 2,
"Hey, ease up on it a bit. These things are taken very seriously now and could lead to something you don't want hanging over your head.",I can't have this going on under my watch. Tone it down and I'll go to bat for you when the time comes.,"I love the motivation but, be careful of that last comment. You know how things are. Definitely let me know the next time something is up. ",I'd say let them have it but it could be one more thing that higher has to deal with and I want to be able to keep you at the top of the list for promotion. ,People are not finding your comments helpful. This problem ends here.,"The next time this happens, I'll write you up. Knock it off. ",I think you need mediation. ,Quit it or you'll be out of here. 
"SFC Johnson, I do see that the platoon is mostly in order and I appreciate all your efforts up to this point alongside the previous PL. But as always, there is some work to be done. ","While all of this is good, SFC Johnson, I'd like to evaluate the company on my own as well to see what I think of our squad leaders and work ethic. Your information is crucial to starting my review.","SFC Johnson, I am more than impressed. Keep up the good work with your troops. ","I think at this point I can go home for the day as you have it all figured out with the platoon, thanks SFC Johnson. ","Honestly, from what i have seen, I am not so sure I believe with your analysis. There are men missing from squads, we have a drinker and harassment. These are not things I take lightly. ","You seem to be sugarcoating a lot of the problems of the platoon, I need to take a deep look at you and the others to assess issues and see how we can move forward at full strength. ","SFC Johnson, are you seriously trying to say that drinking and harassment within the platoon can be dealt with using an informal conversation? You know the severity and consequences of these issues, what were you thinking?","That's simply not what I see. Your platoon is a mess, and it is clear your leadership is at fault. "
I look forward to seeing what the future holds with this platoon,,"It sounds like you are doing a fantastic job at leading the platoon, and I am thankful to have a platoon sergeant with so much positivity and skill.",This platoon is deserving of a pizza party.,"I like your positive attitude, but you need to do a better job with Sgt. Cramer",,"Your only as strong as your weakest link, so you need to fix Sgt. Cramer before you're both out of here!",
I am very pleased with everything you have done with the platoon thus far. I would be very content with continuing this trend and moving along on the same path that you have started SFC Johnson.,"You should be very proud of this platoon and I am feel very comfortable about where everyone is at right now. Keeping the status quo, at least while I'm getting into this platoon's routine, should be our main focus. Great job. ","SFC Johnson, I am beyond excited to hear such awesome things from you about the platoon. I can't wait to join in and help to get our platoon to an even better spot than right now! Keep doing what you've been doing. ",I am so happy to hear such positive things about our platoon and it hypes me up to hear how passionate and driven everyone is. Let's keep on this path and push even harder to be the best. ,"I have to say, I am a little disappointed that Sgt Cramer is harassing other squad leaders and that you haven't done anything tangible about it. I know you're a great leader and I expected things like this to be taken care of.","Drinking problems are no joke. If you think Sgt Cramer has an issue, you should addressing it. If not professionally, then definitely as a battle buddy. You guys have to take care of each other. ","SFC Johnson, I know that you think you have your platoon squared away, but I definitely have some recommendations for you. There's a lot that you did that I need to fix, starting with leadership. ","I will need to speak with you at length SFC Johnson. There are some obvious issues that need addressed, despite how well you think things are going under your leadership. "
,,,,,,,
SFC I appreciate everything you doing for you are an outstanding leader but I will have to speak to SRG Cramer personally to figure out what is exactly going on.,It seems like we have nothing to worry about since the platoon in the good hands but I will still have to check on Sgt Cramer just to make sure that everything is aright.,"You are squad is in the perfect shape, I appreciate all the hard work that you do.",You are doing the amazing job keep up the good work I am happy that I got into a unit where people take care of each other and do the right thing.,You have to look out for your people it looks like some individuals are not listening to you and do not admit your authority.,"You should know what is going on with each individual in your platoon that way you can help, do not be careless",DO you not know how to do your job?,I spoke to your soldiers and they said that you barely take care of them.
"SFC Johnson, I am glad to hear that you and the rest of the platoon are a great group of individuals. As for the SGT Cramer, please let me know if any problems with him persist.","SFC Johnson, these are all great things to hear. Let me know of anything you need, and lets continue moving forward and making this platoon the best platoon in this company.","SFC Johnson, I am very excited to work alongside with you. From what I hear, you have great grasp on the platoon. Let's work together to continue to keep the work ethic and moral of this platoon high!",It's great to have the opportunity to serve with you. I am ready start working hard towards keeping up such high work ethic that this platoon has shown. Please let me know of anything that you need me to get started on.,"SFC Johnson, I understand your frustration with SGT Cramer, but if the problems with him persist, you need to let me take care of the problem. You have other duties you need to take care of. ","Its good to hear your side of the story about this platoon, but I have heard otherwise. This platoon still needs a lot of work when it comes to getting things done in a more efficient way. We will take care of this together.","SFC Johnson, from what you say, this platoon sounds like a hard working platoon. That is not what I have been seeing lately or what I've heard for that matter. I have seen a lot of people standing around and wasting time, fooling around. ","I am glad you think so highly of your platoon, but there are a lot of improvements to take care of, starting with the way you have been handling SGT Cramer's drinking problem. "
"SFC Johnson, your team has done great work here, but there's still much to improve. I look forward to working with you. ","SFC Johnson, I'm grateful for your forthright and constructive feedback, I am sure it will be useful in crafting our roadmap for the platoon. ",That's excellent to hear. I am excited to be working with such a high-functioning team.,"Great work, especially in your approach to dealing with SGT Cramer. ",We have a squad leader that has a drinking problem? Please elaborate. ,"You've said nothing but flattering things about the team here, I'm waiting to hear about the other side of this coin. ",How is it that you're telling me about a high-functioning platoon when we have a squad leader with a drinking problem? ,How is it that you've needed to correct SGT Cramer on his conduct more than one time? How is this man still responsible for leading and setting the example for our squad? 
In that case I can leave any disciplinary decision making dealing with Cramer to you as long as he is kept in line.,Between the both of us we can continue to keep sgt. Cramer on the right track.,"Alright, that is great to hear we are at full strength and everything is being handled right.",Good to hear the Platoon is being managed so well.,I think I'm going to have to take charge of any disciplinary action regarding Cramer from now on. We have a lot of work to do to fill vacant spots and get the platoon to full strength.,I'll need written reports of past discrepancies or incidents regarding Cramer.,If Cramer continually has had these issues why is it you have yet to set him straight once and for all?,Does Cramer have a drinking problem or is the platoon plagued by poor leadership like yourself?
"SFC Johnson, I do not plan on changing too much of what you have already started due to the high progress the platoon has already made. ","SFC Johnson, I appreciate everything you have done so far. I am not here to step on anyone's toes, I am just here to do my part and help relieve some stress off of everyone else. ","SFC Johnson, you have done such an amazing job. Have you ever considered dropping an OCS packet?","I am so grateful to have had you as the acting Platoon Leader, I already feel at ease to be working with you. ","I have heard about the things you have been doing around here, but judging by what I see, there is a lot more that needs improvement. ","You've done an okay job around here thus far, but I expected more. ","Well you must not be doing your job, if you keep having to pull SGT Crammer to side to talk to him. ",It seems to me like your a push over and soldiers are constantly going to run all over you.
