"Region 4(High Valence, Low Intensity)",,"Region 1 (High Valence, High Intensity)",,"Region 3( Low Valence, Low Intensity)",,"Region 2 (Low Valence, High Intensity)",
"We need to keep home and work separate the best we can. There is a reason why your the squad leader and they answer to you. And, the answer has a lot to do with experience and professionalism. Just try to keep that in mind. ",I'll help with overseeing maintenance. Take a few moments and lets think though this. ,"That was not the right way to go about it. But hey, your right to upset. What Can I do to help?",Just know you have my full support. Probably should not have called him that but I'll take the heat for it. Try to call him something a little more socially acceptable. ,It sounds like a hard time. It will probably always be hard and you could always just leave the Army. ,What to also start worrying about job? I can make that happen. ,Keep it up and your ass is gone.,Your no better than the person you train. 
"I understand what you are going through, family life in the military can be difficult. You are a trusted SL, so I know you will get through this. ","Let's just relax and take the rest of the day off. Blow off some steam, maybe get some flowers for your wife and put in that quality time. ",How about you and I go get a drink? Your squad and my platoon have their orders for the day so let's go have a cold one. ,"Man, was that a talking to? That thing about retarded kids made me crack up! Keep that up and he'll be licking his weapon clean. ","SSG, pull yourself together. This is pathetic, if you can't handle your issues at home, don't bring them to the office. ","Stop complaining about your family problems, you don't think we all have shit going on? Be a man for God's sake.  ","Well, SSG your men are a direct reflection of your leadership so these screw ups are on you as far as I am concerned. ","You know who needs a talking to is you, get yourself and your men in line. I don't want your excuses. "
"It's okay to have those feelings, but don't take it out on the soldiers. If you need some time off to sort out your personal life, take it.  ","If you come to work with frustrations, try not to show it to the soldiers. Feel free to come into my office and talk anytime you need to vent or get negative feelings out of your system.","You should take some time off and relax. You work hard, and I'm thankful for it.",,,,Your wife probably makes you sleep on the couch because of your horrible attitude.,
"SSG Burch, I completely understand what you're saying. My wife and I go through phases like this too, where we argue about everything. It will definitely pass. I wouldn't be so hard on Jones or your other guys though. ",I can tell you've been going through a lot lately. Why don't you take the rest of the day off to fix some things at home and I'll make sure your guys are squared away. ,"I can tell you're very stressed about stuff at home, why don't you take the afternoon off to smooth things over and then when you get back tomorrow, you and your guys can rally after pt. ","SSG Burch, you're one of the best trainers here, don't focus too much on coming down hard on your guys. You've trained them to do the right things. Keep pushing them forward and setting the standard",It's been a long week for you SSG Burch. I expect you to take things like that in stride. I am disappointed with how you handled yourself back there. ,"I'm going to send you home for the afternoon SSG Burch. Not because you deserve it, but because your guys deserve more out of you. Come back tomorrow ready to be the best. ",You think you're angry at your guys? How do you think I feel? I have to reprimand a SSG who is supposed to be in charge and setting the standard!,"I don't care what's going on at home, you are a professional. I am very angry about how you're treating your guys and I am going to counsel you for this behavior. "
"SSG Burch, I understand you are having some difficult times,why don't you take the rest of the day off to relax.","Go ahead and take a few minutes to recover, I understand the stress you are currently undergoing. I'm sue everything will pass soon. ",I admire your commitment to detail. You are one of the finest NCO's this company and I expect great things from you in the future. We just need to work on your approach to your subordinates.,"I appreciate all that you do for this company, and that individual should be reprimanded or failing to keep proper weapon maintenance. Take the day, go home and get some R & R.","Regardless of the situations you are currently having at home, that is no excuse to act in the manner that you did.",I'm afraid that that kind of behavior is unbecoming of an NCO. I need you to take a minute to reconsider your actions.,The actions of your soldiers are a direct reflection of you and if their weapons are not maintained properly it is because you have failed them.,There are no circumstances in which an NCO should be acting this way. I'm afraid I'm going to have to reprimand you.
 I know your are great man but why do not you take a break just to let the steam off.,Please tell me about your problem I might be able to help you.,I want to give you a 2 days leave so you can relax and bring yourself back to senses.,"You have been working very hard, I think you deserve a a few days off with your family.","I know your upset but that is not a way to talk to your subordinates like this, I am disappointed.","You are not supposed to humiliate your own soldiers, you are failing me.",You either get you stuff together or you will be out in no time,"No one is going to help you, you are on your own"
"SSG Burchh, it seems as though you need some time off to clear your head or relieve some of the stress that you're undergoing. Why don't you take the rest of the day off and come back tomorrow so that we can talk about how you're doing then. ","I'm sorry to hear about problems at home. Take the rest of the day off, talk to the wife, come back tomorrow with a clearer head. ",Let me talk to your squad and see if we can work on better ways to getting the job done. ,"If you're ever having too much of a stressful day and need someone to talk to, don't hesitate to talk to me about any problems you have. ","SSG Burch, regardless of the problems you have at home, you cannot be treating your soldiers in a condescending manner. ","I don't care what your problems at home are, you cannot treat your soldiers this way. ","You will not be treating your soldiers this way again. If I see this again, I will give you a written counseling.","This is your first and last warning, if I see you treating your soldiers this way again, I will have no other choice but to try and find someone else to take your place a squad leader."
"SGT, these men and women look up to you, they deserve your best. Let's see about getting you some time off to handle these issues at home before they handle you. ","SGT, let's take a moment to separate the issues you have going on. You're one of the best here, let's see what we can do to get all this sorted. ","SGT, you know much better than I that you don't bring your problems from home into the workplace. ","Look here, we don't have time for any of that right now. Let's you and I find some time to get a beer later and talk, but right now I need you back outside working with these guys and getting them right. ","So, you're telling me that you've got problems at home that you're not only bringing here to work, but taking out on your troopers? Why are you in a leadership position right now? ",Aren't you the one always talking about accountability for one's actions? What are you doing right now? ,"You better bottle this BS up right now and get back outside. This isn't acceptable anywhere, let alone in this unit. ","I don't even know why I bothered to pull you aside to talk about this, you already know what you're doing wrong. Get back out there. "
Maybe you could relax a bit and try to make work a place to get away from issues you are having at home. ,"We all have rough patches, why don't we focus on getting the platoon in order using a nicer approach so at least your responsibilities here won't be as stressful?",I understand you're having a bad time but lets get back out there and straighten out the platoon with a better attitude this time.,I'll watch over the platoon for now while you can take a few of the more motivated and experienced individuals to complete some different task.,"Well I know a good divorce lawyer, sounds like you have your work cut out for you.",Maybe you have a big life change and need to be thinking about that to focus more on what is going on here.,Sounds like your wife and the platoon have the right idea about you.,"If you organized your life better you would be able to organize your work too, I suggest you get to it."
"I understand, we all have had some sort of issues outside of work. I know its easier said than done, but you have to wear multiple hats. You cannot take your frustration out on your soldiers when they had nothing to do with it. ","Try to take deep breath and relax. Take off, go to the gym, blow some steam off and come back and re group. ","I understand what you're going through, but you cannot talk to your soldiers that way. Hard times don't last forever. You and your family will get through this. How about I have something at my house tonight and you and your wife join my family?",I'm going to apologize on your behalf and take over for the rest of the day. You go home and spend some time with your family. ,"If you keep acting like this, I will not always be able to save you. ","The way you are acting is not okay, something is going to have to change asap or things at work and home will only get worst. ",Have you ever thought that it might just be time for a divorce? ,You need to figure out a better way to communicate with you soldiers or you're going to be in for a rude awakening very soon and I will not save you.
