Region 4,,Region 1,,Region 3,,Region 2,
Nice of you to come in today.,Bring me any?,Is that sausage! ,Want the day off? We got nothing going on. ,Guess who doesn't have a job anymore?,Lets do some corrective training right now. ,Go back home and think about what your going to say at your chapter 15 board. ,Say goodbye to the Army. We don't need people like you. 
"How is it going, SSG? Having a good morning, I see.","Thanks for reporting, please sit down. ","Great to see you, SSG. Tell me about your weekend! Let's try to make this meeting short. ","Come on in, thanks for meeting with me as I know you are busy working with your great squad. ","SSG, you are late. Please sit down immediately so we don't waste any more time. ","Please sit, do you know the time? I don't prefer to be waiting. ","SSG, this is not the first time you have missed a hit time this week. I am going to formally write this up. ",Who do you think you are? Sauntering in here late for our counseling session. Sit your ass down. 
"Even though your priorities are in the wrong place, I'm not going to fire you.","I need you to apply yourself a little more. The work you do is pretty good, I just need you to be more punctual.",let's have this meeting at a different venue. I know a place that serves killer turkey sausage and salsa scrambled eggs.,You are a calm and positive person who can keep cool in stressful situations. I admire that.,"I'm glad you're calm, but am discontented by your lack of punctuality. Enjoy this formal counciling.",I find your lack of effort disturbing. Please try harder in the future.,I'm aggravated that you lack punctuality. I hope you can still afford turkey sausage and salsa scrambled eggs when you're out of a job.,"If you are ever late again, I will see to it that you spend the rest of your service days serving turkey sausage and salsa scrambled eggs to soldiers who actually care about their duty."
"Happy you had such a good start to your day SSG Rogers, come on in so we can discuss a few things. ","SSG Rogers, good to see you. Let's get this conversation started after some coffee. Have a seat, make yourself comfortable. ","SSG Rogers, just who I wanted to see! I have a few things to speak with you about, but first I just want to let you know that first section is looking great.","I have to say, your section is performing amazingly SSG Rogers, keep those guys motivated just like this and you are on your way to a promotion.","SSG Rogers I am not very pleased with your performance lately. I know you're a hard worker and I just expect more out of you. I'm not going to write you up yet, but I am disappointed","SSG Rogers, despite your mediocre attempts at being on time, you're doing a fine job. As a leader though, punctuality and working out the boring details is what you're supposed to be all about. ","SSG Rogers, if you don't get yourself in gear and start making all the time hacks, you're going to get yourself and your section in a whole lot of trouble, I'll make sure of that. ","I will make sure that you and your section are on time from now on, even if you have to be in formations and at details 2 hours early. I will take charge since you can't seem to do it. "
"SSG Rogers, I appreciate your calm demeanor. That's a trait you don't come across in many NCOs","SSG Rogers, you are doing a pretty good job here. Some things to improve but who doesn't need to improve here and there?","SSG Rogers, I think you have one of the most positive personalities in the company.","SSG Rogers, while your work performance is unorthodox I admire you to still complete tasks to their fullest.","SSG Rogers, your work has been erratic and you never seem to make any of the hit times pressed upon you.","While I admire your positive attitude, your work performance is lacking and it is taking a toll on the company and your soldiers.","SSG Rogers, your work ethic is deplorable, you have ZERO timeliness to be completely honest, you're hurting yourself, your subordinates, and this company.","Due to your complete incompetence, I have no choice other than to reprimand you and write up a negative spot report. If you don't get your act in shape there will be plenty more to follow."
"I heard you were talking about food, how was it?",Keep doing what you are doing,"You always doing the right thing, everyone in the battalion is proud of you.","Your performance been great, I am proud of you","You were late for an important discussion, I want you in my office.","I am very disappointed in you, people are looking up to you and yet you failed them.",I guess you are as lay as those other NCOs that you described earlier,Maybe the army is not the right place for you if you cannot live up to the Army standards.
"Thanks for coming in, just wanted to check in and see how things were going.",Great job getting that police call complete the other day. ,You are doing a great job with your section. Keep up the good work. ,"I know it can get crazy with all the soldiers and different assignments, but you're keeping up with the work, Good job!",I need you to stop being late to things. You are so far one of our weaker NCOs. ,You need to start proving to me that you can be a more efficient leader and stop missing hit times and assignments. ,"Next time you're late to something, I will have to officially write you up for it. ",Why were you late this morning? Stop being such a terrible NCO. 
How's your morning going SGT? Got a nice day planned out? ,"Come on in SGT, let's have a nice chat about what's been going on. ","Come on in SGT, I hear great things about you. ","Good morning SGT, busy day ahead and we've got a lot of things to hit upon. Let's get right to work. ",What time is it right now SGT? Go back outside and let's try that again. ,Something funny SGT? I like to laugh too. ,Something funny SGT? Not too many jokes better than the one standing in front of me right now. ,"Let's get right to it. Your recent list of failures is long, let's have a talk here. "
Hey thanks for making it almost on time anyway. I mostly just wanted to make sure you knew to try to catch up on vehicles and details if you are falling behind we can help you out.,"Hey this isn't a big deal but we need you to try to keep the vehicles maintained a little better, wouldn't want any more late details or that sort of thing.","Great job on that detail eventually getting done, I'll pull resources your way to make sure you get extra labor to help out.",I'm a big fan of omelets too! Just wanted to make sure you're tracking to keep the vehicles up and running that's all. ,"You understand you're late way too often and not doing a very good job lately, right?",There are standards to be met and you haven't been meeting them at all lately.,What type of idiot eats omelets and brags about it when they show up late?,Too bad you ate omelets and not show up on time cereal.
I enjoy turkey back and scrambled eggs as well. ,"We need to discuss some things pertaining to your work ethic. You have been doing an okay job thus far, but I would like to discuss some things to help ensure your progression. ",I believe you have potential.  ,"I can tell that you are a motivated individual, that can take you a long way. ","It's going to be very difficult for you to get promoted, with the current performance you are displaying. ",I'm not all that confident in your ability to perform as a motivated leader. ,You're running on thin ice and have just one more time to mess up. ,I expect to see a change in behavior and time management very soon or there are going to be several repercussions to follow. 
